placa,descricao
0B65-QBK,HONDA/BIZ 125 VERMELHA 17/17 - LEVADA DE APROPRIACAO INDEBITA
7H30-NGI,HONDA CIVIC EXS COR PRETA MODELO 2006 CARATER DE APARECIDA RODANDO EM ANAPOLIS
6665-NFP,YAMAHA/ YBR 125K PRETA MODELO 2007 - VEICULO LEVADO DE APROPRIACAO INDEBITA
6021-OGX (PIRENOPOLIS),HONDA/XRE 300 VERM ANO 12/12 - APROPRIACAO INDEVITA
1324-JFW,GM/CORSA WIND PRATA ANO 01/01 - APROPRIACAO INDEVITA
0507-NJY,HYUNDAI / SANTA FE - PRETA - 08/08 - UTILIZADA PARA TENTATIVA DE FURTO DE VEICULO
XXXX-JHU,PAJERO/TR4 PRATA COM 3 INDIVIDUOS TENTOU PRATICAR 155 DE ESTEPE NA CIDADE DE ANAPOLIS
1379-GHT (SP),TOYOTA/HILUX COR PRETA 17/17 DOBRA RODANDO NA CIDADE
5187-HPE,CG 125 TITAN AZUL ANO 99/99 VEICULO PROVAVELMENTE OBJETO DE ESTELIONATO OU FURTO
1D75-PQJ,VW/ GOL BRANCA 15/16 POSSIVEL DOBRA RODANDO EM ANAPOLIS (ENGATE E EMBLEMA TSI)
4B93-JIZ,HONDA CIVIC LXL PRETA 11/11 PROVAVEL VEICULO ENVOLVIDO EM HOMICIO EM GYN - RODANDO EM ANAPOLIS
3651-OMY,HONDA/CG 150 FAN - VERMELHA - 13/13 POSSIVEL DOBRA
3047-PQG,HONDA/CB300 - BRANCA - 15/15 POSSIVEL DOBRA
8J82-RCU,HONDA/CG 160 START PRETA 20/21 REGISTRO DE FURTO/ROUBO RODANDO NA CIDADE
5B87-RBQ,HYUNDAI HB20 1.0 21/21 COR BRANCA SENDO CONDUZIDO PELO VINICIUS (AUTOR DE DISPAROS) NO JANDAIA
2G20-OGH,VW SAVEIRO CROSS VERMELHA 11/12 - VEICULO DE PROPRIEDADE DO VINICIUS (AUTOR DE DISPAROS) NO JANDAIA
8G86-PWN,TOYOTA HILUX SW4 2015 DE COR PRATA - EFETUOU DISPAROS EM BRIGA DE TRANSITO
7997-QPB,FIAT/ ARGO DRIVE COR BRANCA 2018/2019 AMEACOU UM INDIVIDUO COM ARMA DE FOGO NO BAIRRO ALEXANDRINA
7527-NLO,HONDA/CG 125 FAN KS 2010 - LEVADA DE APROPRIACAO INDEVITA
6890-ONI,NISSAN/ FRONTIER/ PRATA 13/14 - REGISTRO DE FURTO/ROUBO DO ANO DE 2014 DEU OCR EM ANAPOLIS
4229-OVV,CITROEN C3 COR CINZA ANO 2014 LEVADO DE APROPRIACAO INDEBITA
5E97-SHR,ONIX HATCH COR BRANCA ANO 2024 - APROPRIACAO INDEBITA
9B13-OBG,PALIO FIRE DE COR BRANCA 2014/14 - PRATICA DE 155 EM IGREJA
0619-OGO,GM CHEVROLET / S10 LTZ BRANCA 12/13 INDIVIDUO PROVAVELMENTE ARMADO
3033-ONJ,HONDA/CG 150 FAN ESI 2013 COR VERMELHA MOTO UTILIZADA PARA ENTREGA DE DROGAS
